uri,name,valence,energy,speechiness,acousticness,instrumentalness,
spotify:track:76FriiiCiPH3XrSwFPuZBz,R-A-N-G-E-R,0.815,0.305,0.276,0.968,0,
spotify:track:4KJ8t9zLNl5JtAFO9TP2u9,Romeo and Juliet% Suite No.2 from the ballet% Op.64b: 1. Montagues & Capulets,0.0617,0.143,0.0382,0.865,0.335,
spotify:track:6Vg3QC5UcpdAcGXgUqkjIX,If You Ever Come Back,0.572,0.809,0.0277,0.0389,0,
spotify:track:4dvNIeJawEWqMe1ZfYKcXt,Who You Are,0.203,0.675,0.0344,0.0234,1.95E-06,
spotify:track:2T31osJ8UyFAXwLH9QW1kr,Oh I Think Dey Like Me,0.721,0.651,0.334,0.000629,0,
spotify:track:0mrGysk7U5NAeUgxiK2sCH,Close to Me,0.823,0.434,0.0753,0.638,0,
spotify:track:46joouSnzTPlOEW06k8CMQ,I Feel so Alive (Matthew Parker U:Remix),0.609,0.912,0.0706,0.00681,0,
spotify:track:7sZSe99XSTu5KpYJEThvWr,La mer,0.556,0.168,0.0442,0.965,0.114,
spotify:track:3TcmqdciWnQOXxYohhERbP,(Antichrist Television Blues),0.836,0.95,0.0436,0.679,0.0015,
spotify:track:1h2VfWj0PH8H4GEJobUiIE,Str8 (feat. Corner Boy P & Fiend),0.755,0.856,0.224,0.0156,2.29E-06,
spotify:track:4tUX1QyAUUBqGE3jcDMjLg,Make It Last Forever,0.777,0.422,0.0386,0.13,0.00581,
spotify:track:2ohiLbLiiuaiPN1PAwUFej,Time to Go Home,0.675,0.647,0.032,0.0408,0.365,
spotify:track:6HEz6BgTn88FzFXgzmMarV,How Do You Do?,0.641,0.79,0.0611,0.529,0,
spotify:track:3zCdzbERQu5rSoKkxOfG7e,Carnival of Carnage,0.743,0.571,0.195,0.0102,0.762,
spotify:track:5fsT9U41OCFlaKA5XTCHtz,Yoda's Theme,0.0571,0.0909,0.0374,0.963,0.848,
spotify:track:3TgUmYALtbV9LpLj7KQMLi,P's & Q's,0.141,0.725,0.337,0.0429,0,
spotify:track:0gWmxML0Fc6z9e5adPqi1s,Soon I'll Be Loving You Again,0.736,0.613,0.05,0.674,5.09E-06,
spotify:track:6SpgQ7T3lhWk2oUs0Pq00O,Magicman,0.283,0.476,0.0386,0.307,0.191,
